# File generated with https://github.com/funilrys/funceble
# Date of generation: Fri Oct 13 02:27:57 UTC 2017


Domain                                                                                               Status      HTTP Code  Analyse Date        
fast-adv.it                                                                                          ACTIVE      403        Fri Oct 13 02:49:14 UTC 2017
fastclick.com.edgesuite.net                                                                          ACTIVE      400        Fri Oct 13 02:49:15 UTC 2017
fqtag.com                                                                                            ACTIVE      403        Fri Oct 13 02:52:20 UTC 2017
fragmentserv.iac-online.de                                                                           ACTIVE      403        Fri Oct 13 02:52:22 UTC 2017
freestats.tv                                                                                         ACTIVE      403        Fri Oct 13 02:52:27 UTC 2017
freewebcounter.com                                                                                   ACTIVE      403        Fri Oct 13 02:52:28 UTC 2017
gbanners.hornymatches.com                                                                            ACTIVE      403        Fri Oct 13 02:52:38 UTC 2017
googleadservices.com                                                                                 ACTIVE      404        Fri Oct 13 02:52:50 UTC 2017
gp.dejanews.com                                                                                      ACTIVE      404        Fri Oct 13 02:52:53 UTC 2017
hidden.gogoceleb.com                                                                                 ACTIVE      403        Fri Oct 13 02:53:07 UTC 2017
hyperbanner.net                                                                                      ACTIVE      403        Fri Oct 13 02:53:39 UTC 2017
iad.anm.co.uk                                                                                        ACTIVE      404        Fri Oct 13 02:53:42 UTC 2017
ia.iinfo.cz                                                                                          ACTIVE      403        Fri Oct 13 02:53:43 UTC 2017
icptrack.com                                                                                         ACTIVE      403        Fri Oct 13 02:53:46 UTC 2017
idcounter.com                                                                                        ACTIVE      404        Fri Oct 13 02:53:46 UTC 2017
ientrymail.com                                                                                       ACTIVE      403        Fri Oct 13 02:53:50 UTC 2017
ifa.tube8live.com                                                                                    ACTIVE      403        Fri Oct 13 02:53:51 UTC 2017
ilead.itrack.it                                                                                      ACTIVE      403        Fri Oct 13 02:53:53 UTC 2017
imageads.canoe.ca                                                                                    ACTIVE      403        Fri Oct 13 02:53:55 UTC 2017
images.v3.com                                                                                        ACTIVE      403        Fri Oct 13 02:53:58 UTC 2017
links-ranking.de                                                                                     ACTIVE      403        Fri Oct 13 02:55:17 UTC 2017
linkswaper.com                                                                                       ACTIVE      403        Fri Oct 13 02:55:19 UTC 2017
linktarget.com                                                                                       ACTIVE      403        Fri Oct 13 02:55:20 UTC 2017
liveadexchanger.com                                                                                  ACTIVE      403        Fri Oct 13 02:55:21 UTC 2017
logger.snackly.co                                                                                    ACTIVE      403        Fri Oct 13 02:55:24 UTC 2017
mas.sector.sk                                                                                        ACTIVE      404        Fri Oct 13 02:55:47 UTC 2017
max.i12.de                                                                                           ACTIVE      404        Fri Oct 13 02:55:50 UTC 2017
mbs.megaroticlive.com                                                                                ACTIVE      404        Fri Oct 13 02:55:53 UTC 2017
measuremap.com                                                                                       ACTIVE      404        Fri Oct 13 02:55:55 UTC 2017
megacash.de                                                                                          ACTIVE      403        Fri Oct 13 02:56:15 UTC 2017
mobclix.com                                                                                          ACTIVE      404        Fri Oct 13 02:56:33 UTC 2017
ndparking.com                                                                                        ACTIVE      403        Fri Oct 13 02:56:57 UTC 2017
neocounter.neoworx-blog-tools.net                                                                    ACTIVE      403        Fri Oct 13 02:57:03 UTC 2017
netclickstats.com                                                                                    ACTIVE      403        Fri Oct 13 02:57:06 UTC 2017
newads.bangbros.com                                                                                  ACTIVE      403        Fri Oct 13 02:57:11 UTC 2017
oas.benchmark.fr                                                                                     ACTIVE      403        Fri Oct 13 02:57:23 UTC 2017
openx.blindferret.com                                                                                ACTIVE      403        Fri Oct 13 02:57:50 UTC 2017
ordingly.com                                                                                         ACTIVE      403        Fri Oct 13 02:57:53 UTC 2017
ota.cartrawler.com                                                                                   ACTIVE      404        Fri Oct 13 02:57:53 UTC 2017
otto-images.developershed.com                                                                        ACTIVE      404        Fri Oct 13 02:57:54 UTC 2017
pagead.l.google.com                                                                                  ACTIVE      404        Fri Oct 13 02:58:01 UTC 2017
pagerank4you.com                                                                                     ACTIVE      403        Fri Oct 13 02:58:02 UTC 2017
partnerad.l.google.com                                                                               ACTIVE      404        Fri Oct 13 02:58:08 UTC 2017
pbterra.com                                                                                          ACTIVE      403        Fri Oct 13 02:58:18 UTC 2017
pcash.imlive.com                                                                                     ACTIVE      403        Fri Oct 13 02:58:18 UTC 2017
pixel.jumptap.com                                                                                    ACTIVE      404        Fri Oct 13 02:58:31 UTC 2017
pixel.redditmedia.com                                                                                ACTIVE      403        Fri Oct 13 02:58:31 UTC 2017
protraffic.com                                                                                       ACTIVE      403        Fri Oct 13 02:59:13 UTC 2017
publicidad.elmundo.es                                                                                ACTIVE      403        Fri Oct 13 02:59:21 UTC 2017
pubs.lemonde.fr                                                                                      ACTIVE      410        Fri Oct 13 02:59:23 UTC 2017
ranking-hits.de                                                                                      ACTIVE      403        Fri Oct 13 02:59:39 UTC 2017
ratings.lycos.com                                                                                    ACTIVE      403        Fri Oct 13 02:59:48 UTC 2017
realmedia-a800.d4p.net                                                                               ACTIVE      400        Fri Oct 13 02:59:55 UTC 2017
reklama.mironet.cz                                                                                   ACTIVE      404        Fri Oct 13 03:00:02 UTC 2017
reklam.rfsl.se                                                                                       ACTIVE      404        Fri Oct 13 03:00:09 UTC 2017
s.adroll.com                                                                                         ACTIVE      403        Fri Oct 13 03:00:44 UTC 2017
scripte-monster.de                                                                                   ACTIVE      403        Fri Oct 13 03:00:53 UTC 2017
servedbyadbutler.com                                                                                 ACTIVE      404        Fri Oct 13 03:01:01 UTC 2017
shareadspace.com                                                                                     ACTIVE      403        Fri Oct 13 03:01:09 UTC 2017
sher.index.hu                                                                                        ACTIVE      403        Fri Oct 13 03:01:12 UTC 2017
spacash.com                                                                                          ACTIVE      404        Fri Oct 13 03:01:31 UTC 2017
spykemediatrack.co                                                                                   ACTIVE      403        Fri Oct 13 03:01:45 UTC 2017
srwww1.com                                                                                           ACTIVE      403        Fri Oct 13 03:01:52 UTC 2017
stat.dealtime.com                                                                                    ACTIVE      403        Fri Oct 13 03:01:59 UTC 2017
static.itrack.it                                                                                     ACTIVE      403        Fri Oct 13 03:02:04 UTC 2017
statistik-gallup.net                                                                                 ACTIVE      403        Fri Oct 13 03:02:05 UTC 2017
stats.olark.com                                                                                      ACTIVE      403        Fri Oct 13 03:04:41 UTC 2017
stats.townnews.com                                                                                   ACTIVE      403        Fri Oct 13 03:04:44 UTC 2017
stats.unwired-i.net                                                                                  ACTIVE      403        Fri Oct 13 03:04:46 UTC 2017
suavalds.com                                                                                         ACTIVE      403        Fri Oct 13 03:05:01 UTC 2017
